search_id	search_date	clicks	group
3078042711399431956	2017-11-25	0	2
5744398728642588548	2017-11-25	2	2
5815752620443848793	2017-11-25	2	2
6364923654682403841	2017-11-22	0	2
6556454837547080435	2017-11-23	0	2
9173104641996611479	2017-11-24	0	2
-1469511267011581248	2017-11-24	0	2
-1476073206446597524	2017-11-23	2	2
-1739985170678987194	2017-11-23	4	2
-2335291270212088834	2017-11-22	0	2
-3210351571870089648	2017-11-24	1	2
-4669276307308350524	2017-11-24	2	2
-470393010542477113	2017-11-22	0	2
-4960903309138167633	2017-11-22	1	2
-5536549162830986505	2017-11-22	0	2
-5756288519102160377	2017-11-24	0	2
-6745899193549391778	2017-11-23	1	2
-6978696270241266775	2017-11-23	0	2
-7024422204613128677	2017-11-23	0	2
-8545091678050570714	2017-11-24	2	2
-8787681990210432888	2017-11-24	0	2
185936184474901897	2017-11-23	0	2
2946185267577014210	2017-11-22	0	2
3562614434784240064	2017-11-23	0	2
5089879083880034671	2017-11-25	0	2
5593333135822922719	2017-11-22	0	2
5855311627838423921	2017-11-23	8	2
6538016764929538081	2017-11-22	0	2
7931101888091941611	2017-11-25	0	2
9109439144471170676	2017-11-23	2	2
-1552845402064127884	2017-11-24	1	2
-5796548284003215250	2017-11-22	1	2
-6467493958387203259	2017-11-22	1	2
-8161594072656212234	2017-11-25	1	2
-2649009778433250811	2017-11-23	2	2
-6972577725442096098	2017-11-22	0	2
-8907430054311110867	2017-11-23	0	2
8532823958675348212	2017-11-24	0	2
-1478976034707298619	2017-11-24	0	2
-1761229651942535896	2017-11-24	0	2
-203438791608430885	2017-11-23	0	2
-2336805901358417059	2017-11-22	1	2
-4418684825333412991	2017-11-23	1	2
-5221517749434714334	2017-11-22	3	2
-873558493058241393	2017-11-22	0	2
3584728961618730030	2017-11-23	0	2
6201415200319035937	2017-11-22	2	2
8839786455361645058	2017-11-23	0	2
891248202327561455	2017-11-22	0	2
-1602400520763920488	2017-11-24	0	2
-3243415245054611660	2017-11-22	3	2
-4571907080458689915	2017-11-24	0	2
-957596044241521050	2017-11-23	0	2
1435128788824339413	2017-11-22	0	2
3017963807940974803	2017-11-23	0	2
4166919859669417032	2017-11-23	1	2
4685960927712979727	2017-11-22	2	2
5019421658546213266	2017-11-23	1	2
6473992406328061787	2017-11-23	0	2
7162016264104570053	2017-11-22	0	2
7233272084879141410	2017-11-23	0	2
8330072895418787370	2017-11-23	4	2
-3054816572240551877	2017-11-25	0	2
1838075011107559928	2017-11-23	0	2
1848300916060426364	2017-11-23	0	2
-2596270327696354200	2017-11-22	0	2
-3892447596587834735	2017-11-25	2	2
-4571351669463109897	2017-11-22	0	2
-5060748742516469073	2017-11-22	0	2
-6213832289146655415	2017-11-24	0	2
-6343870621669809565	2017-11-23	0	2
-6570131533447813791	2017-11-22	0	2
-736020403056497155	2017-11-24	0	2
1000879877857523136	2017-11-22	0	2
3163147701011144928	2017-11-23	0	2
8839491057632090459	2017-11-24	0	2
-1970011258753291988	2017-11-23	1	2
-7588186987203396586	2017-11-24	0	2
-7980138818513920165	2017-11-22	0	2
-9183416208934485565	2017-11-22	0	2
1255234070263158474	2017-11-22	1	2
253007334780702871	2017-11-22	2	2
39700982022235109	2017-11-23	0	2
8931364314143677382	2017-11-24	1	2
-5901918923709446520	2017-11-25	2	2
7189978625102899659	2017-11-25	1	2
-1162572296972980330	2017-11-22	0	2
-4540237833808750748	2017-11-23	2	2
-6715545018533562873	2017-11-23	2	2
-7432146175162789004	2017-11-22	1	2
-752420036069316375	2017-11-23	0	2
-9100473918667695355	2017-11-23	0	2
1792413976956664446	2017-11-23	0	2
2350703236175378233	2017-11-22	0	2
2486131217714465186	2017-11-23	0	2
4041767720367805975	2017-11-23	1	2
5347755255161815995	2017-11-23	0	2
5525974739884586310	2017-11-22	0	2
6040857211314484913	2017-11-22	0	2
8605080170555233066	2017-11-22	1	2
-130227670877158833	2017-11-25	1	2
-5228070626499050803	2017-11-23	0	2
-8291058453583726015	2017-11-22	1	2
-9177103595175460626	2017-11-22	0	2
5579951294534152335	2017-11-22	0	2
5960221071340445553	2017-11-25	3	2
9102652499558086648	2017-11-25	1	2
-1088175387509173861	2017-11-22	0	2
-1424580043845392205	2017-11-23	1	2
-1926044876315336416	2017-11-23	1	2
-2017484694934748146	2017-11-24	0	2
-2428682901409135461	2017-11-24	1	2
-3492329155459846806	2017-11-22	0	2
-3664743336017008386	2017-11-24	0	2
-4653177443732210918	2017-11-22	0	2
-5484952269738445450	2017-11-23	0	2
-5847205898268466732	2017-11-23	0	2
-6373187955142152431	2017-11-22	0	2
-6547505476266393111	2017-11-24	1	2
-7420848769632992684	2017-11-22	0	2
-7543820106903571951	2017-11-23	0	2
-7711094726167538745	2017-11-23	0	2
-8291872406225056306	2017-11-23	0	2
-8372020044345379561	2017-11-22	0	2
-8409767064158237227	2017-11-23	0	2
-8452661149615880326	2017-11-24	0	2
1892512686921912096	2017-11-23	0	2
1967803256583525094	2017-11-22	0	2
2119873177785977837	2017-11-23	1	2
